Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
0.01698024999,0.4321513367,8.323291626,6.719077606,10.70560331,0.0
0.02703925001,1.305585022,7.277865601,6.252348175,9.683167749,0.0
0.03709825,1.911674652,7.072342987,6.112838287,9.541453098,0.0
0.04715725,1.202599182,7.630532227,6.249504089,9.936174728,0.0
0.05721624999,0.9560618591,7.830815735,5.995781708,9.908840883,0.0
0.06727624999,0.8024812317,7.656727753,5.74864563,9.608141474,0.0
0.07733525001,0.7744894409,7.564519501,5.602250061,9.444945469,0.0
0.08739425,0.705333252,7.581883392,5.582042084,9.441485296,0.0
0.09745325,0.7509883118,7.58682312,5.620512085,9.471748761,0.0
0.10751225,0.8536747742,7.682474213,5.710175629,9.610165262,0.0
0.11757225,1.04722229,7.790998535,5.853427734,9.800966735,0.0
0.12763125,1.26022934,7.826325073,6.0821521,9.991602289,0.0
0.13769025,1.350491638,7.862250366,6.19561615,10.10071621,0.0
0.14774925,1.247655487,7.87003418,6.17451004,10.08060794,0.0
0.15780825,1.077309723,7.810458069,6.125112762,9.98403014,0.0
0.16786825,0.8439450073,7.619006195,6.11014389,9.802823927,0.0
0.17792725,0.5640270996,7.39611969,6.195765839,9.664793188,0.0
0.18798625,0.3132984924,7.3084021,6.407725067,9.724702449,0.0
0.19804525,0.1287322998,7.339088287,6.688391418,9.930426409,0.0
0.20810425,0.1481918335,7.420518951,6.828200684,10.08515676,0.0
0.21816425,0.3492237854,7.480693817,6.778653717,10.10113278,0.0
0.22822325,0.5444178772,7.462880859,6.799759827,10.11077224,0.0
0.23828225,0.6644682312,7.284302216,7.084767151,10.18314796,0.0
0.24834125,0.6589297485,6.919510803,7.625891876,10.31833538,0.0
0.25840025,0.4984634399,6.45188324,8.345146179,10.5601481,0.0
0.26846025,0.1487905884,5.914500732,9.098080444,10.85258151,0.0
0.27851925,-0.3252735901,5.249433746,9.691147156,11.02636344,0.0
0.28857825,-0.983454895,4.724924469,9.948761444,11.05757428,0.0
0.29863725,-1.508113861,4.482279053,9.954299927,11.02058619,0.0
0.30869625,-1.763632507,4.420756989,9.813742218,10.90701739,0.0
0.31875625,-1.552122345,4.41357193,9.616153107,10.6938815,0.0
0.32881525,-1.084794159,4.53287384,9.450298004,10.53716546,0.0
0.33887425,-0.5989045715,4.744234314,9.423354034,10.56721568,0.0
0.34893325,-0.3248245239,4.925507355,9.538165283,10.7397733,0.0
0.3589925417,-0.1303788757,4.916076965,9.627080383,10.81043422,0.0
0.3690525417,-0.1676513672,4.846771088,9.411828003,10.58781391,0.0
0.3791115417,-0.4391867065,4.828359375,8.950786743,10.17951485,0.0
0.3891705417,-0.7270381165,4.904700623,8.593479767,9.92131882,0.0
0.3992295417,-0.9434880066,4.996010742,8.332722015,9.761380494,0.0
0.4092885417,-1.162183228,5.022355957,8.052804108,9.56150528,0.0
0.4193485417,-1.329834595,5.022206268,7.850424957,9.413829607,0.0
0.4294075417,-1.480421448,4.965324554,8.034242706,9.560081143,0.0
0.4394665417,-1.296004944,4.901257782,8.416547699,9.825488885,0.0
0.4495255417,-0.9382489014,5.00559082,8.912466431,10.26490664,0.0
0.4595845417,-0.4170327759,5.079986115,9.344917145,10.6446067,0.0
0.4696445417,0.0520916748,5.112318878,9.586215363,10.86434733,0.0
0.4797035417,0.2297721863,5.162913666,9.612111511,10.91334781,0.0
0.4897625417,0.2589614868,5.172643433,9.50104248,10.82095695,0.0
0.4998215417,0.2817141724,5.124144287,9.28114975,10.60546832,0.0
0.5098805416,0.296383667,5.104235687,8.948391724,10.30605549,0.0
0.5199405416,0.130229187,5.130580902,8.51234848,9.939813715,0.0
0.5299995417,0.2157014465,4.753065948,8.205636292,9.485284918,0.0
0.5400585417,-0.1480421448,4.966222687,8.129444733,9.527494734,0.0
0.5501175417,-0.5885760498,5.213209076,8.056396637,9.614026077,0.0
0.5601765417,-0.527353363,4.984634399,7.998467102,9.439287984,0.0
0.5702365417,-0.4864883423,4.601281586,8.041128387,9.277295343,0.0
0.5802955417,-0.5131329346,4.651876373,8.135282593,9.385418588,0.0
0.5903545417,-0.1772314453,4.891977081,8.074059906,9.442102208,0.0
0.6004135417,0.0001496887207,4.78914093,8.177195435,9.476412615,0.0
0.6104725417,0.168848877,4.895120544,8.134683838,9.495461876,0.0
0.6205325417,0.3534150696,4.873265991,7.989785156,9.36537722,0.0
0.6305915417,0.3459306335,4.670138397,7.943082275,9.220760093,0.0
0.6406505417,0.3733236694,4.674329681,7.986342316,9.261230594,0.0
0.6507095417,0.4177812195,4.698279877,8.13677948,9.405081353,0.0
0.6607685417,0.4577481079,4.600233765,8.29589859,9.497032033,0.0
0.6708285417,0.5671705627,4.580025787,8.358767853,9.548157868,0.0
0.6808875417,0.6417155457,4.766537933,8.29125824,9.585230613,0.0
