Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
5.701306380E-1,-3.78E+00,1.320299983E0,-5.77E-01,4.041067600E0,0.00E+00
5.801197010E-1,-4.60E+00,1.696399927E0,6.484000087E-1,4.944406336E0,0.00E+00
5.901197010E-1,-4.45E+00,7.583000064E-1,2.156499863E0,5.001643911E0,0.00E+00
6.001212630E-1,-1.37E+00,-3.41E-01,1.989599943E0,2.437112133E0,0.00E+00
6.101197010E-1,1.310599923E0,-4.02E-01,1.946999878E-1,1.384682300E0,0.00E+00
6.201197010E-1,1.303799987E0,-2.31E-01,-8.58E-02,1.326865046E0,0.00E+00
6.301197010E-1,8.478999734E-1,-6.89E-01,9.999999776E-3,1.092591131E0,0.00E+00
6.401197010E-1,5.354999900E-1,-1.26E+00,-2.80E-01,1.400398462E0,0.00E+00
6.501197010E-1,1.882999986E-1,-1.45E+00,-8.92E-01,1.714611744E0,0.00E+00
6.601197010E-1,5.054000020E-1,-1.95E+00,-4.68E+00,5.093910875E0,0.00E+00
6.701197010E-1,7.355999947E-1,-8.33E-01,-2.29E+00,2.548956788E0,0.00E+00
6.801197010E-1,1.015699983E0,2.373999953E-1,-3.69E-01,1.106487165E0,0.00E+00
6.901197010E-1,2.003499985E0,2.769999802E-1,3.819999844E-2,2.022918787E0,0.00E+00
7.001197010E-1,2.148000002E0,7.819999754E-2,-4.20E-01,2.190034537E0,0.00E+00
7.101197010E-1,1.394599915E0,2.096000016E-1,-1.80E+00,2.287138212E0,0.00E+00
7.201197010E-1,1.059399962E0,3.019999862E-1,-3.55E+00,3.717660878E0,0.00E+00
7.301197010E-1,1.010299921E0,-8.65E-01,-2.48E-01,1.352871733E0,0.00E+00
7.401197010E-1,-1.44E-01,-1.32E+00,-3.56E-01,1.374536428E0,0.00E+00
7.501212630E-1,-7.23E-01,-1.04E+00,-1.41E+00,1.893876545E0,0.00E+00
7.601197010E-1,-3.59E-01,-1.31E+00,-2.11E+00,2.508479615E0,0.00E+00
7.701197010E-1,1.248000026E0,-8.85E-01,-9.61E-01,1.806519209E0,0.00E+00
7.801197010E-1,2.469799995E0,-6.66E-02,-5.95E-01,2.541286015E0,0.00E+00
7.901197010E-1,4.206900120E0,8.962000012E-1,-1.21E+00,4.467900918E0,0.00E+00
8.001197010E-1,5.523200035E0,5.771999955E-1,-1.51E+00,5.755330840E0,0.00E+00
8.101197010E-1,5.701699734E0,-4.69E-01,-1.47E+00,5.906057212E0,0.00E+00
8.201212630E-1,4.815399647E0,-6.74E-01,-5.64E-01,4.895028243E0,0.00E+00
8.301212630E-1,3.627099991E0,-7.74E-01,-5.53E-01,3.749729840E0,0.00E+00
8.401212630E-1,3.689800024E0,-1.46E+00,-1.54E+00,4.253818683E0,0.00E+00
8.501197010E-1,3.705399990E0,-2.01E+00,-2.36E+00,4.829510717E0,0.00E+00
8.601212630E-1,3.667500019E0,-2.02E+00,-2.75E+00,5.006275804E0,0.00E+00
